#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Year,Time,Added At
858,Interstellar,Animadrop,36,melodic dubstep,Dance/Electronic,Interstellar,2017,5:52,2021-03-12
859,Game Over,margø,16,,,Game Over,2019,3:50,2021-03-12
860,LOVELOST,margø,39,,,LOVELOST,2019,3:49,2021-03-12
861,The Calling,"TheFatRat,Laura Brehm",59,"speedrun, chillstep, pop edm",,The Calling,2016,3:53,2021-03-12
862,Monody (feat. Laura Brehm),"TheFatRat,Laura Brehm",65,"speedrun, chillstep, pop edm",,Monody (feat. Laura Brehm),2015,4:50,2021-03-12
863,Chosen,"TheFatRat,Laura Brehm,Anna Yvette",47,"speedrun, chillstep, pop edm,",,Chosen,2019,3:49,2021-03-12
864,Losing You,"Ephixa,Laura Brehm",53,"canadian electronic, chillstep, complextro, edm, electro house, future bass, gaming edm, pop edm",Dance/Electronic,Losing You,2017,4:30,2021-03-12
865,End of Time,"Arc North,Laura Brehm,Rival",48,"gaming edm, pop edm, slap house, traprun, chillstep",Dance/Electronic,End of Time,2018,3:03,2021-03-12
866,Mortals,Warriyo,66,belgian edm,Dance/Electronic,Mortals,2016,3:48,2021-03-12
867,Can You Feel It,"T-Mass,Enthic",45,"bass trap, gaming edm, pop edm, traprun,",Dance/Electronic,Can You Feel It,2017,3:30,2021-03-12
868,Habit - T-Mass Remix,"Rain Man,Krysta Youngs,T-Mass",51,"pop edm, strut, bass trap, gaming edm, traprun","Dance/Electronic, Pop",Habit (The Remixes),2017,3:53,2021-03-12
869,My Turn,T-Mass,31,"bass trap, gaming edm, pop edm, traprun",Dance/Electronic,My Turn,2015,3:51,2021-03-12
870,Daybreak - Edit,OVERWERK,51,"canadian electronic, complextro, edm, electro house",Dance/Electronic,Daybreak (Edit),2012,5:04,2021-03-12
871,Toccata,OVERWERK,53,"canadian electronic, complextro, edm, electro house",Dance/Electronic,Canon,2015,6:50,2021-03-12
872,drugs,EDEN,66,"electropop, indie poptimism, modern rock, pop","Pop, Rock",i think you think too much of me,2016,5:38,2021-03-12
873,Interstellar,Abandoned,38,"gaming edm, melodic dubstep",Dance/Electronic,Interstellar,2019,5:25,2021-03-12
874,Golden Throne,The Tech Thieves,40,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Golden Throne,2019,2:40,2021-03-12
875,youandme,"The Tech Thieves,Biometrix",39,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",youandme,2018,3:26,2021-03-12
876,Work On Me,The Tech Thieves,45,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Work On Me,2017,3:16,2021-03-12
877,Flowers,The Tech Thieves,47,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Flowers,2019,3:03,2021-03-12
878,Enough,The Tech Thieves,48,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Enough,2018,3:21,2021-03-12
879,Forget,The Tech Thieves,51,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Forget,2019,2:58,2021-03-12
880,Fake,The Tech Thieves,68,"bass trap, modern alternative rock, traprun","Dance/Electronic, Rock",Fake,2018,2:21,2021-03-12
881,Clementine,Módl,43,,,Clementine,2019,4:30,2021-03-12
882,Coastline,Módl,27,,,Coastline,2019,3:50,2021-03-12
883,Origin,Far Out,45,"bass trap, gaming edm, melodic dubstep, pop edm, traprun",Dance/Electronic,Origin,2018,3:13,2021-03-12
884,Apex,Far Out,52,"bass trap, gaming edm, melodic dubstep, pop edm, traprun",Dance/Electronic,Apex,2018,3:26,2021-03-12
885,On My Own,"Far Out,Karra",58,"bass trap, gaming edm, melodic dubstep, pop edm, traprun, la pop","Dance/Electronic, Pop",On My Own,2018,4:30,2021-03-12
886,Stick Up,grandson,58,"modern alternative rock, modern rock, rock",Rock,a modern tragedy vol. 1,2018,3:42,2021-03-12
887,Apologize,grandson,49,"modern alternative rock, modern rock, rock",Rock,a modern tragedy vol. 2,2019,3:18,2021-03-12
888,Rock Bottom,grandson,57,"modern alternative rock, modern rock, rock",Rock,Rock Bottom,2019,3:39,2021-03-12
889,Bury Me Face Down,grandson,63,"modern alternative rock, modern rock, rock",Rock,Bury Me Face Down,2016,3:51,2021-03-12
890,Apologize,grandson,57,"modern alternative rock, modern rock, rock",Rock,Apologize,2019,3:18,2021-03-12
891,Despicable,grandson,64,"modern alternative rock, modern rock, rock",Rock,a modern tragedy vol. 1,2018,3:43,2021-03-12
892,Blood // Water,grandson,81,"modern alternative rock, modern rock, rock",Rock,Blood // Water,2018,3:36,2021-03-12
893,Stars (Whales Remix),"Omri,Whales",0,"bass trap, dubstep, gaming dubstep, gaming edm",Dance/Electronic,Stars (Whales Remix),2016,4:53,2021-03-12
894,Rob A Bank,Confetti,17,la pop,Pop,Rob A Bank,2019,2:53,2021-03-12
895,Ghost,Confetti,24,la pop,Pop,Ghost,2019,2:49,2021-03-12
896,Virtual Friends,DROELOE,37,"bass trap, edm, electronic trap, electropop, future bass, pop edm, vapor soul, vapor twitch","Dance/Electronic, Pop",Virtual Friends,2019,3:47,2021-03-12
897,BACKBONE,"DROELOE,Nevve",54,"bass trap, edm, electronic trap, electropop, future bass, pop edm, vapor soul, vapor twitch,","Dance/Electronic, Pop",BACKBONE,2018,3:14,2021-03-12
898,Only Be Me,DROELOE,0,"bass trap, edm, electronic trap, electropop, future bass, pop edm, vapor soul, vapor twitch","Dance/Electronic, Pop",Only Be Me,2019,3:28,2021-03-12
899,Running Away,"Taska Black,DROELOE,CUT_",54,"bass trap, edm, electronic trap, electropop, future bass, indie electropop, pop edm, traprun, vapor twitch, vapor soul","Dance/Electronic, Pop",Running Away,2017,3:05,2021-03-12
900,Black Hole Sun,Prismo,51,"bass trap, gaming edm, traprun",Dance/Electronic,Black Hole Sun,2019,2:54,2021-03-12
901,Love Me,"Felix Cartal,Lights",52,"canadian electronic, edm, electro house, electropop, indie poptimism, pop dance, pop edm, tropical house, canadian folk, canadian pop","Dance/Electronic, Folk/Acoustic, Pop",Love Me,2019,3:14,2021-03-12
902,Lone Wolf,"Egzod,Wasiu",51,"bass trap, gaming edm, pop edm, traprun, canadian hip hop","Dance/Electronic, Hip Hop",Lone Wolf,2019,3:30,2021-03-12
903,Reserve,"Egzod,Leo The Kind",46,"bass trap, gaming edm, pop edm, traprun, brockton hip hop","Dance/Electronic, Hip Hop",Reserve,2019,3:25,2021-03-12
904,My Stranger,"Egzod,RIELL",40,"bass trap, gaming edm, pop edm, traprun",Dance/Electronic,My Stranger,2019,3:04,2021-03-12
905,Dramophone,Caravan Palace,35,"electro swing, nu jazz","Easy listening, Dance/Electronic",Panic,2012,3:22,2021-03-12
906,Black Betty,Caravan Palace,49,"electro swing, nu jazz","Easy listening, Dance/Electronic",Black Betty,2017,3:09,2021-03-12
907,Jolie Coquine,Caravan Palace,49,"electro swing, nu jazz","Easy listening, Dance/Electronic",Caravan Palace,2008,3:46,2021-03-12
908,Wonderland,Caravan Palace,44,"electro swing, nu jazz","Easy listening, Dance/Electronic",,2015,3:10,2021-03-12
909,Lone Digger,Caravan Palace,53,"electro swing, nu jazz","Easy listening, Dance/Electronic",,2015,3:49,2021-03-12
910,Middle Finger,Bohnes,69,rebel blues,Blues,Middle Finger - Single,2015,3:49,2021-03-12
911,Stronger,The Score,66,"modern alternative rock, modern rock",Rock,Pressure,2019,3:10,2021-03-12
912,Glory,The Score,63,"modern alternative rock, modern rock",Rock,Pressure,2019,2:46,2021-03-12
913,Unstoppable,The Score,74,"modern alternative rock, modern rock",Rock,ATLAS,2017,3:12,2021-03-12
914,Legend,The Score,73,"modern alternative rock, modern rock",Rock,ATLAS,2017,3:09,2021-03-12
915,Charleston Boogie,"Robert Edwards,Little Violet",16,electro swing,Easy listening,Beat Swing,2018,4:31,2021-03-12
916,She Wants Me Dead - CAZZETTE vs. AronChupa,"CAZZETTE,AronChupa,The High",0,"complextro, edm, electro house, pop dance, pop edm, progressive electro house, progressive house, tropical house, swedish pop,","Dance/Electronic, Pop",She Wants Me Dead (CAZZETTE vs. AronChupa ft. The High),2016,3:23,2021-03-12
917,Battle Cry,Warriyo,32,belgian edm,Dance/Electronic,Battle Cry,2017,4:13,2021-03-12
918,Overhours,"Warriyo,Veela",43,"belgian edm, chillstep",Dance/Electronic,Overhours,2019,4:20,2021-03-12
919,Venom,Warriyo,38,belgian edm,Dance/Electronic,2015 Compilation,2016,4:35,2021-03-12
920,Living Hell (feat. Blvkstn),"Skan,Lox Chatterbox,M.I.M.E,Blvkstn",56,"bass trap, traprun",Dance/Electronic,Living Hell (feat. Blvkstn),2017,3:14,2021-03-12
921,KIKO,Panda Eyes,0,"edm, gaming edm, speedrun",Dance/Electronic,Kiko,2015,5:12,2021-03-12
922,Colorblind,Panda Eyes,0,"edm, gaming edm, speedrun",Dance/Electronic,Kiko,2015,4:49,2021-03-12
923,Highscore,"Panda Eyes,Teminite",0,"edm, gaming edm, speedrun",Dance/Electronic,Kiko,2015,4:19,2021-03-12
924,Surrender The Throne,Krewella,45,"dance pop, edm, electra, electro house, electropop, pop dance","Pop, Dance/Electronic",Ammunition,2016,3:15,2021-03-12
925,No Regrets (feat. Krewella),"KSHMR,Yves V,Krewella",58,"big room, edm, electro house, indian edm, pop dance, pop edm, slap house, tropical house, belgian edm, brazilian edm, house, progressive electro house, progressive house, dance pop, electra, electropop","Dance/Electronic, Pop",No Regrets (feat. Krewella),2019,3:04,2021-03-12
926,Egyptica,Deficio,6,"8d, progressive electro house","New age, Dance/Electronic",Elephants / Egyptica,2016,4:11,2021-03-12
927,Majesty,"Apashe,Wasiu",65,"bass trap, traprun, canadian hip hop","Dance/Electronic, Hip Hop",Requiem,2018,4:27,2021-03-12
928,Cage Of Ice,"Defqwop,STRIX",25,"gaming edm,",Dance/Electronic,Cage Of Ice,2018,4:27,2021-03-12
929,Awakening,Defqwop,46,gaming edm,Dance/Electronic,Awakening,2018,3:38,2021-03-12
930,Heart Afire,"Defqwop,STRIX",63,"gaming edm,",Dance/Electronic,"NCS is Love, NCS is Life, Vol. 1",2016,4:00,2021-03-12
931,It Was Me - Radio Edit,"Laidback Luke,Keanu Silva",34,"big room, dutch edm, dutch house, edm, electro house, house, pop dance, pop edm, progressive electro house, progressive house, future house",Dance/Electronic,MixmashFam. Presents: RISE,2017,2:52,2021-03-12
932,Out of Sight,"N3WPORT,Besomorph,Anna Pancaldi",34,"gaming edm, pop edm, traprun, bass trap, slap house, british singer-songwriter","Dance/Electronic, Folk/Acoustic",Out of Sight,2019,2:53,2021-03-12
933,Wilted,"Besomorph,Biometrix,Bolshiee,Adam Ward",0,"bass trap, slap house, traprun,",Dance/Electronic,Wilted,2019,3:08,2021-03-12
934,White Line,"Besomorph,Anna Pancaldi",0,"bass trap, slap house, traprun, british singer-songwriter","Dance/Electronic, Folk/Acoustic",White Line,2019,2:39,2021-03-12
935,Monster,Besomorph,49,"bass trap, slap house, traprun",Dance/Electronic,Monster,2019,2:12,2021-03-12
936,Cradles,Besomorph,13,"bass trap, slap house, traprun",Dance/Electronic,Cradles,2019,2:18,2021-03-12
937,Who Am I,"Besomorph,RIELL",55,"bass trap, slap house, traprun",Dance/Electronic,Who Am I,2019,3:15,2021-03-12
938,Redemption,"Besomorph,Coopex,RIELL",63,"bass trap, slap house, traprun",Dance/Electronic,Redemption,2019,2:37,2021-03-12
939,Pull the Trigger,"Flux Pavilion,Cammie Robinson",41,"bass trap, brostep, classic dubstep, edm, electro house, electronic trap,",Dance/Electronic,Pull the Trigger / Cut Me Out,2017,3:53,2021-03-12
940,Rise Up,TheFatRat,67,speedrun,,Rise Up,2019,2:49,2021-03-12
941,HUMANS,KLOUD,56,"bass trap, dark clubbing, traprun",Dance/Electronic,HUMANS,2019,4:02,2021-03-12
942,HUMANS - Far Out Remix,"KLOUD,Far Out",53,"bass trap, dark clubbing, traprun, gaming edm, melodic dubstep, pop edm",Dance/Electronic,HUMANS (Far Out Remix),2019,4:45,2021-03-12
943,Say What - Pisk Electro Swing Remix,"Cut Capers,Pisk",47,"electro swing, modern ska punk, nu jazz","Easy listening, Dance/Electronic",Say What (2019),2019,3:13,2021-03-12
944,Stronger,"TheFatRat,Slaydit,Anjulie",68,"speedrun, canadian pop",Pop,Stronger,2019,3:25,2021-03-12
945,Xenogenesis,TheFatRat,3,speedrun,,Xenogenesis,2014,3:53,2021-03-12
946,Ascent,Faux Tales,34,"chillstep, future bass, melodic dubstep",Dance/Electronic,Ascent EP,2016,4:46,2021-03-12
947,Already Dying,"Ben Walter,Ashley Apollodor",33,"melodic dubstep,",Dance/Electronic,Already Dying,2018,4:51,2021-03-12
948,Prologue,Faux Tales,22,"chillstep, future bass, melodic dubstep",Dance/Electronic,Kairos,2015,3:23,2021-03-12
949,MAYDAY,"TheFatRat,Laura Brehm",61,"speedrun, chillstep, pop edm",,MAYDAY,2018,4:07,2021-03-12
